name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage

#AXE
melee_axe_small,,weapons/axe/axe_fly.wav,0.9,1,na,1.05,1.1,100,250,weapon,streamed,,,,,,,,,,,,,,,,,
melee_axe_swing_plr,,weapons/axe/axe_fly.wav,0.9,1,na,0.95,1.05,100,250,weapon,streamed,,,,,,,,,,,,,,,50,100,0.55

#SHOVE
melee_shove_small,,weapons/shove/shove_fly.wav,0.9,1,na,1.05,1.1,100,250,weapon,streamed,,,,,,,,,,,,,,,,,
melee_shove_swing_plr,,weapons/shove/shove_fly.wav,0.9,1,na,0.95,1.05,100,250,weapon,streamed,,,,,,,,,,,,,,,50,100,0.55

#LIGHTSABER
melee_lightsaber_fly,,weapons/lightsaber/fly.wav,0.9,1,na,1.05,1.1,100,250,weapon,streamed,,,,,,,,,,,,,,,,,
melee_lightsaber_fly_plr,,weapons/lightsaber/fly.wav,0.9,1,na,0.95,1.05,100,250,weapon,streamed,,,,,,,,,,,,,,,50,100,0.55
melee_lightsaber_on,,weapons/lightsaber/on.wav,0.9,1,na,1.05,1.1,100,250,weapon,streamed,,,,,,,,,,,,,,,,,
melee_lightsaber_on_plr,,weapons/lightsaber/on.wav,0.9,1,na,0.95,1.05,100,250,weapon,streamed,,,,,,,,,,,,,,,50,100,0.55
melee_lightsaber_off,,weapons/lightsaber/off.wav,0.9,1,na,1.05,1.1,100,250,weapon,streamed,,,,,,,,,,,,,,,,,
melee_lightsaber_off_plr,,weapons/lightsaber/off.wav,0.9,1,na,0.95,1.05,100,250,weapon,streamed,,,,,,,,,,,,,,,50,100,0.55

#357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_mw2_magnum_clip_out_plr,,weapons/44/weap_mw2_magnum_clip_out.wav,0.55,0.6,wpnplyr,1,1.1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
weap_mw2_magnum_clip_in_plr,,weapons/44/weap_mw2_magnum_clip_in.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
weap_mw2_magnum_chamber_plr,,weapons/44/weap_mw2_magnum_chamber.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
weap_mw2_magnum_fire_plr,,weapons/44/weap_mw2_magnum_fire.wav,0.72,0.79,wpnplyr,1,1,500000,,local,,,,0.85,,,,,weapon2,,,,
weap_mw2_magnum_fire_npc,,weapons/44/weap_mw2_magnum_fire.wav,0.84,0.9,wpnai,1,1,35,10920,weapon,,,,0.7,all_mp,,,,weapon4
weap_mw2_magnum_lift_plr,,weapons/44/lift.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
weap_mw2_magnum_reload_npc,,weapons/44/weap_mw2_magnum_clip_out.wav,0.45,0.5,wpnai,1,1,7,500,reload,streamed,,,0.7,all_mp,,,weap_de50_clipin_npc,weapon2,5

#Kar 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_kar98_bolt_up_plr,,weapons/kar98/gr_kar98_bolt_up.wav,0.65,0.75,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
gr_kar98_bolt_front_plr,,weapons/kar98/gr_kar98_bolt_forward.wav,0.65,0.75,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
gr_kar98_clip_in_plr,,weapons/kar98/m1gar_clip_in.wav,0.65,0.75,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
gr_kar98_bolt_back_plr,,weapons/kar98/gr_kar98_bolt_back.wav,0.65,0.75,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
gr_kar98_clip_eject_plr,,weapons/kar98/gr_kar98_clip_eject.wav,0.65,0.75,wpnplyr,1,1,7,500,reload2d,streamed,,,0.85,,,,,weapon2,100
